date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
12/24/2022,90.90833333,62.94583333,874.6666667,47.3875,28.80416667,63.16666667,0.750416667,0.125,1.075,157.9166667,96.5
12/25/2022,86.6125,55.82083333,764.2083333,38.975,28.7,62.95833333,0.382083333,0.333333333,1.170833333,154.4166667,91.20833333
12/26/2022,67.17083333,38.925,482.125,25.88333333,28.2625,66.08333333,0.5475,0,0.50625,115.3333333,73.29166667
12/27/2022,60.87083333,34.28333333,450,19.15,26.51666667,92.58333333,0.54125,0,0.689583333,103.25,69.25
12/28/2022,61.28333333,39.35833333,723.3333333,15.025,22.36666667,66.58333333,0.607083333,0,0.177083333,104.5416667,69.91666667
12/29/2022,46.22083333,32.09166667,613.125,10.38333333,16.275,69.875,0.734166667,0,0.527083333,94.04166667,66.20833333
12/30/2022,60.77916667,42.44166667,626.5416667,17.3,18.24166667,58.875,0.534166667,0,0.4875,95.75,66.83333333
12/31/2022,77.12916667,54.0375,719.6666667,19.33333333,25.37083333,54.75,0.427916667,0,0.770833333,144.75,83
1/1/2023,82.55416667,57.77916667,912.625,36.52916667,27.23333333,54.375,0.412083333,0,1.133333333,136.5416667,80.20833333
1/2/2023,95.80833333,66.97083333,1191.166667,48.88333333,34.86666667,41.375,0.423333333,0,0.29375,163.0833333,104.1666667
1/3/2023,38.89166667,27.18333333,772.9166667,22.04583333,14.45,50.20833333,0.242083333,0,0.641666667,95.91666667,65.66666667
1/4/2023,75.10416667,52.50416667,1101.458333,43.6,32.52083333,32.95833333,0.287916667,0,0.977083333,114.8333333,73
1/5/2023,114.1791667,79.83333333,1707.5,61.39583333,36.35416667,29.75,0.534166667,0,0.55625,156.6666667,95.25
1/6/2023,50.33333333,35.19166667,849.375,25.4375,14.775,62.95833333,0.361666667,0,1.183333333,142.375,85.79166667
1/7/2023,64.7875,45.32083333,1130.541667,47.70416667,18.85833333,52.875,0.312083333,0,1.183333333,94.33333333,66.125
1/8/2023,152.7375,106.5083333,1613.083333,78.19166667,49.62916667,42.75,0.627083333,0,0.4375,162.875,106.375
1/9/2023,174.9708333,121.1791667,1465.791667,56.70416667,48.03333333,67.29166667,0.732083333,0,0.664583333,179.5416667,129.3333333
1/10/2023,157.1083333,109.5833333,1489.291667,54.55,47.2125,43.29166667,0.907083333,0,0.335416667,184.5,136.9166667
1/11/2023,96.87916667,67.7875,1284.166667,61.07083333,33.2875,28.20833333,0.547916667,0,0.4625,168.2083333,112.0833333
1/12/2023,91.51666667,64.03333333,1317.125,60.92916667,33.29583333,44.83333333,0.568333333,0,0.595833333,154.5833333,91.375
1/13/2023,56.2375,39.2875,908.7083333,49.27916667,21.89166667,60.33333333,0.339583333,0,0.997916667,120.5,75.70833333
1/14/2023,89.13333333,62.14166667,960.0833333,44.40833333,20.52083333,73.29166667,0.511666667,0,1.170833333,131.4166667,78.45833333
1/15/2023,38.79583333,27.13333333,824.7916667,11.39583333,10.60416667,51,0.7225,0,0.229166667,139.2916667,82.95833333
1/16/2023,33.0125,23.04583333,591.9583333,14.1,21.025,53.75,0.305,0,0.495833333,66.91666667,41.5
1/17/2023,35.02083333,24.47083333,487.5833333,10.34583333,17.1625,50.70833333,0.455,0,0.391666667,78.04166667,58.66666667
1/18/2023,46.17916667,32.275,565.5416667,14.02083333,17.87083333,54.25,0.486666667,0,0.68125,79.625,60.41666667
1/19/2023,66.7125,46.5875,647.8333333,18.08333333,22.7875,56.16666667,0.62625,0,1.014583333,113.125,72.5
1/20/2023,66.98333333,46.74166667,722.9583333,21.87916667,24.4625,58.54166667,0.537916667,0,0.75625,119.4583333,74.70833333
1/21/2023,115.1583333,79.97916667,999.9166667,35.45833333,31.1375,70.75,0.645,0,0.79375,155.625,95.375
1/22/2023,101.7416667,68.61666667,1223,50.9875,30.175,55.04166667,0.888333333,0,0.379166667,158.4583333,97.375
1/23/2023,70.95,48.61666667,953.5416667,39.41666667,21.57916667,55.08333333,0.735833333,0,0.64375,154.0833333,91.41666667
1/24/2023,51.5,35.95833333,700.9583333,19.02916667,17.57083333,71.875,0.384166667,0.75,0.604166667,97.125,67.04166667
1/25/2023,74.44166667,51.52083333,771.4166667,26.29583333,23.57916667,85.75,0.5325,1.666666667,1.222916667,128.7916667,77.58333333
1/26/2023,67.49166667,44.42083333,781.8333333,29.275,18.85416667,76.875,0.72875,0.125,0.810416667,134.75,79.625
1/27/2023,60.40416667,41.97916667,617.5,14.925,16.7625,63.29166667,0.511666667,0.166666667,0.389583333,114.25,72.95833333
1/28/2023,66.8875,46.1625,908.6666667,26.74166667,22.38333333,76.04166667,0.377916667,3,1.30625,109.6666667,71.58333333
1/29/2023,82.5,56.98333333,1063.416667,44.75,21.20416667,60.66666667,0.442916667,3.125,1.395833333,146.8333333,83.91666667
1/30/2023,163.0541667,113.525,1655.375,70.81666667,32.36666667,81.54166667,0.630833333,2,1.2875,169.4583333,114.1666667
1/31/2023,92.80416667,60.94583333,806.0833333,32.69166667,25.06666667,74.75,0.455,0.875,1.491666667,166.2916667,109.1666667
2/1/2023,97.05416667,64.4625,804.625,27.96666667,24.35833333,89.70833333,0.705833333,0.25,0.885416667,151.5,86.79166667
2/2/2023,151.6166667,104.55,1037.125,36.35833333,27.00833333,42.875,0.913333333,0,0.252083333,165.7916667,108.2916667
2/3/2023,160.725,112.0625,1151.208333,45.92916667,24.45416667,28.91666667,0.70625,0,0.189583333,180.6666667,131.0833333
2/4/2023,82.11666667,57.17916667,766.125,33.51666667,20.14583333,36.83333333,0.739166667,0,0.320833333,162.5416667,103.3333333
2/5/2023,95.95833333,66.35416667,786.375,32.2375,20.4,44.45833333,0.7825,0,0.2375,152.8333333,88.79166667
2/6/2023,80.6875,55.8,802.9166667,38.8,20.27916667,33.29166667,0.59875,0,0.21875,152.2916667,87.66666667
2/7/2023,67.22916667,46.22916667,671.2916667,32.09583333,16.74166667,39.08333333,0.5925,0,0.322916667,149.2916667,85.125
2/8/2023,31.36666667,21.28333333,408.6666667,26.7375,14.3625,32,0.604166667,0,0.316666667,91.16666667,63.58333333
2/9/2023,30.05416667,20.18333333,359.2916667,28.3,15.55416667,24.08333333,0.710416667,0,0.291666667,66.54166667,39.75
2/10/2023,30.38333333,20.41666667,368.0833333,27.78333333,15.14166667,31.66666667,0.69,0,0.445833333,69.58333333,44.875
2/11/2023,31.3875,21.20833333,333.625,21.79583333,11.42083333,38.54166667,0.66625,0,0.63125,66,39.5
2/12/2023,48.69583333,32.95,458.1666667,23.22083333,13.49166667,78.58333333,0.525833333,0,1.38125,84.58333333,57.66666667
2/13/2023,51.74166667,35.06666667,463.9583333,19.6,12.81666667,65.95833333,0.734166667,0,1.054166667,97.83333333,67.5
2/14/2023,45.52916667,31.73333333,575.2083333,11.82083333,7.275,50.16666667,0.778333333,0,0.35,99.79166667,68.25
2/15/2023,52.5625,36.725,584.2916667,15.80833333,10.8875,60.20833333,0.777083333,0,0.629166667,92.95833333,65.70833333
2/16/2023,87.95833333,61.3875,894.7083333,32.95416667,21.8125,52.125,0.954166667,0,0.44375,123,75.83333333
2/17/2023,116.4458333,79.6,1237.083333,50.07916667,27.39166667,55.83333333,1.09,0,0.4625,164.3333333,106.1666667
2/18/2023,66.85833333,42.7625,786.6666667,39.5875,22.61666667,58.91666667,0.809583333,0,0.56875,140.0416667,84.41666667
2/19/2023,52.97916667,36.42083333,814.2916667,32.77916667,13.12083333,46.70833333,0.484166667,0,0.841666667,117.5,73.95833333
2/20/2023,71.95416667,50.05416667,918.25,29.825,16.8,79.08333333,0.702083333,0.25,1.010416667,96.375,66.79166667
2/21/2023,109.5291667,73.35833333,1024.166667,30.02916667,29.65,105.1666667,1.300833333,0,0.485416667,157.5833333,97.08333333
